ITEM_ID,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01
520130,,0,-0,0,0,0,0,0,-0,-0,-1,-0,-1,0,1,0,0,2,0,1,1,0,0,0,0,1,-0,-0,-1,1,3,3,0,1,-3,4,-2,-1,0,1,6,1,-1,0,1,-0,1,-0,-0,1,2,0,3,-0,1,3,0,1,-1,1,-2,1,1,1,1
520131,,4,-1,-1,0,-2,-0,2,0,0,-0,-0,-0,2,0,-2,-0,-1,0,0,-0,0,0,-1,-0,2,1,-4,-1,7,-1,-1,-0,-1,1,-1,-0,0,0,-2,3,-0,-3,3,0,-1,1,-1,-1,2,1,-2,3,-2,2,2,-0,-2,1,-0,-2,4,1,-1,1
520137,,-0,-0,-1,1,3,-0,1,-1,-2,1,-2,2,0,-2,2,0,-0,-1,1,0,-1,-0,-0,-0,1,-1,6,0,-5,1,3,-1,-2,2,-1,3,1,-2,-1,-1,1,-1,2,-0,-0,1,1,-5,3,3,-2,1,-1,0,7,-1,-3,2,2,-1,3,0,1,1
520140,,3,2,-0,2,-3,-1,2,3,-2,-0,0,-8,3,1,1,1,-2,-7,4,4,-0,-1,-0,-3,-2,-1,2,2,-4,-3,0,3,-2,1,1,-2,-6,3,0,7,0,-1,-2,0,2,1,-2,0,2,-3,3,1,1,1,2,-1,1,0,-0,-3,1,1,2,0
510439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,3,1
510434,,,,,,,,,,,,,,-4,-1,-11,3,2,-2,-7,-2,3,4,3,-2,-8,3,6,6,-3,1,3,1,4,-2,1,-9,-7,5,2,1,1,-1,-1,4,-5,1,5,-0,-8,5,0,3,2,-1,2,6,-0,-1,1,-9,-7,5,1,4
520109,,-0,2,-3,2,-3,-7,13,1,2,1,-5,-1,3,1,-0,-0,-1,-4,3,4,-4,4,-1,-1,-3,-2,-3,2,-2,-6,10,1,-0,-8,8,-3,-1,1,-0,4,-1,-0,0,-1,1,-1,0,-0,-0,2,5,-1,1,-4,1,2,0,0,-2,-3,2,1,-1,1
510429,,-1,0,1,-0,0,1,0,-0,-2,3,-1,0,1,0,1,0,-1,-0,-0,0,0,1,-1,-0,-3,4,19,-2,-0,-1,-12,1,-1,1,4,1,5,-1,-1,-1,0,0,1,1,0,2,0,-1,3,1,1,1,-2,0,1,-0,2,0,2,-3,1,1,0,1
510432,,-2,-1,-1,-1,-2,-4,4,6,-1,2,-1,-8,2,1,-1,2,-2,-6,-2,7,6,1,-2,-7,-1,-3,-2,-1,-1,-2,-2,10,8,-3,-0,-8,-3,2,1,1,2,-5,2,3,3,6,-1,-5,-3,3,3,1,2,-9,5,6,3,2,-1,-1,-1,0,0,3
510324,,1,-2,0,0,-1,-6,2,3,1,-0,0,-4,1,2,1,-0,-0,2,1,0,-0,-1,-2,0,-1,-1,-3,5,-1,-1,1,2,1,-3,2,-1,1,-1,2,-0,0,1,-0,2,3,0,1,-2,0,2,-1,0,-0,0,1,1,3,-1,-0,3,1,0,1,1
